name,id
"White-eared Monarch (Carterornis leucotis)","Carterornis_leucotis"
"Southern Cassowary (Casuarius casuarius)","Casuarius_casuarius"
"Cassowary (Casuarius casuarius)","Casuarius_casuarius"
"Southern Cassowary. (the Northern Ones Come From Papua New Guinea!) (Casuarius casuarius)","Casuarius_casuarius"
"Southerncassowary (Casuarius casuarius)","Casuarius_casuarius"
"Pheasant Coucal (Centropus phasianinus)","Centropus_phasianinus"
"Swamp Pheasant (Centropus phasianinus)","Centropus_phasianinus"
"Cape Barren Goose (Cereopsis novaehollandiae)","Cereopsis_novaehollandiae"
"Pig Goose (Cereopsis novaehollandiae)","Cereopsis_novaehollandiae"
"Black Honeyeater (Certhionyx niger)","Certhionyx_niger"
"Banded Honeyeater (Certhionyx pectoralis)","Certhionyx_pectoralis"
"Pied Honeyeater (Certhionyx variegatus)","Certhionyx_variegatus"
"Azure Kingfisher (Ceyx azureus)","Ceyx_azureus"
"Little Kingfisher (Ceyx pusilla)","Ceyx_pusilla"
"Horsfield's Bronze-cuckoo (Chalcites basalis)","Chalcites_basalis"
"Shining Bronze-cuckoo (Chalcites lucidus)","Chalcites_lucidus"
"Little Bronze-cuckoo (Chalcites minutillus)","Chalcites_minutillus"
"Black-eared Cuckoo (Chalcites osculans)","Chalcites_osculans"
"Emerald Dove (Chalcophaps indica)","Chalcophaps_indica"
"Common Emerald Dove (Chalcophaps indica)","Chalcophaps_indica"
"Green-winged Pigeon (Chalcophaps indica)","Chalcophaps_indica"
"Inland Dotterel (Charadrius australis)","Charadrius_australis"
"Inland Plover (Charadrius australis)","Charadrius_australis"
"Double-banded Plover (Charadrius bicinctus)","Charadrius_bicinctus"
"Banded Dotterel (Charadrius bicinctus)","Charadrius_bicinctus"
"Little Ringed Plover (Charadrius dubius)","Charadrius_dubius"
"Ringed Plover (Charadrius hiaticula)","Charadrius_hiaticula"
"Common Ringed Plover (Charadrius hiaticula)","Charadrius_hiaticula"
"Greater Sand Plover (Charadrius leschenaultii)","Charadrius_leschenaultii"
"Greater Sand-plover (Charadrius leschenaultii)","Charadrius_leschenaultii"
"Lesser Sand Plover (Charadrius mongolus)","Charadrius_mongolus"
"Lesser Sand-plover (Charadrius mongolus)","Charadrius_mongolus"
"Mongolian Dotterel (Charadrius mongolus)","Charadrius_mongolus"
"Mongolian Plover (Charadrius mongolus)","Charadrius_mongolus"
"Red-capped Plover (Charadrius ruficapillus)","Charadrius_ruficapillus"
"Red-capped Dotterel (Charadrius ruficapillus)","Charadrius_ruficapillus"
"White-fronted Plover (Charadrius ruficapillus)","Charadrius_ruficapillus"
"Oriental Plover (Charadrius veredus)","Charadrius_veredus"
"Oriental Dotterel (Charadrius veredus)","Charadrius_veredus"
"Australian Wood Duck (Chenonetta jubata)","Chenonetta_jubata"
"Maned Duck (Chenonetta jubata)","Chenonetta_jubata"
"Wood Duck (Chenonetta jubata)","Chenonetta_jubata"
"White-backed Swallow (Cheramoeca leucosterna)","Cheramoeca_leucosterna"
"Whiskered Tern (Chlidonias hybrida)","Chlidonias_hybrida"
"White-winged Black Tern (Chlidonias leucopterus)","Chlidonias_leucopterus"
"White-winged Tern (Chlidonias leucopterus)","Chlidonias_leucopterus"
"Common Greenfinch (Chloris chloris)","Chloris_chloris"
"European Greenfinch (Chloris chloris)","Chloris_chloris"
"Silver Gull (Chroicocephalus novaehollandiae)","Chroicocephalus_novaehollandiae"
"Horsfield's Bronze Cuckoo (Chrysococcyx basalis)","Chrysococcyx_basalis"
"Horsfield's Bronze-cuckoo (Chrysococcyx basalis)","Chrysococcyx_basalis"
"Shining Bronze Cuckoo (Chrysococcyx lucidus)","Chrysococcyx_lucidus"
"Shining Cuckoo (Chrysococcyx lucidus)","Chrysococcyx_lucidus"
"Shining Bronze-cuckoo (Chrysococcyx lucidus)","Chrysococcyx_lucidus"
"Little Bronze Cuckoo (Chrysococcyx minutillus)","Chrysococcyx_minutillus"
"Little Bronze-cuckoo (Chrysococcyx minutillus)","Chrysococcyx_minutillus"
"Black-eared Cuckoo (Chrysococcyx osculans)","Chrysococcyx_osculans"
"Speckled Warbler (Chthonicola sagittata)","Chthonicola_sagittata"
"Brown Songlark (Cincloramphus cruralis)","Cincloramphus_cruralis"
"Rufous Songlark (Cincloramphus mathewsi)","Cincloramphus_mathewsi"
"Chestnut-breasted Quail-thrush (Cinclosoma castaneothorax)","Cinclosoma_castaneothorax"
"Chestnut Quail-thrush (Cinclosoma castanotum)","Cinclosoma_castanotum"
"Chestnut-backed Quail-thrush (Cinclosoma castanotum)","Cinclosoma_castanotum"
"Cinnamon Quail-thrush (Cinclosoma cinnamomeum)","Cinclosoma_cinnamomeum"
"Spotted Quail-thrush (Cinclosoma punctatum)","Cinclosoma_punctatum"
"Eurasian Marsh Harrier (Circus aeruginosus)","Circus_aeruginosus"
"Marsh Harrier (Circus aeruginosus)","Circus_aeruginosus"
"Western Marsh Harrier (Circus aeruginosus)","Circus_aeruginosus"
"Western Marsh-harrier (Circus aeruginosus)","Circus_aeruginosus"
"Swamp Harrier (Circus approximans)","Circus_approximans"
"Australasian Harrier (Circus approximans)","Circus_approximans"
"Spotted Harrier (Circus assimilis)","Circus_assimilis"
"Banded Honeyeater (Cissomela pectoralis)","Cissomela_pectoralis"
"Golden-headed Cisticola (Cisticola exilis)","Cisticola_exilis"
"Zitting Cisticola (Cisticola juncidis)","Cisticola_juncidis"
"Fan-tailed Cisticola (Cisticola juncidis)","Cisticola_juncidis"
"Fan-tailed Warbler (Cisticola juncidis)","Cisticola_juncidis"
"Banded Stilt (Cladorhynchus leucocephalus)","Cladorhynchus_leucocephalus"
"White-browed Treecreeper (Climacteris affinis)","Climacteris_affinis"
"White-browed Treecreeper Population In Carrathool Local Government Area South Of The Lachlan River And Griffith Local Government Area (Climacteris affinis)","Climacteris_affinis"
"Red-browed Treecreeper (Climacteris erythrops)","Climacteris_erythrops"
"Black-tailed Treecreeper (Climacteris melanura)","Climacteris_melanura"
"Brown Treecreeper (Climacteris picumnus)","Climacteris_picumnus"
"Rufous Treecreeper (Climacteris rufa)","Climacteris_rufa"
"Bower's Shrike-thrush (Colluricincla boweri)","Colluricincla_boweri"
